Parity,Head,Tail,Close
ETHBTC,ETH,BTC,0.06726000
LTCBTC,LTC,BTC,0.00299600
BNBBTC,BNB,BTC,0.00928400
NEOBTC,NEO,BTC,0.00030190
QTUMETH,QTUM,ETH,0.00122100
EOSETH,EOS,ETH,0.00038750
SNTETH,SNT,ETH,0.00001165
BNTETH,BNT,ETH,0.00020310
GASBTC,GAS,BTC,0.00008740
BNBETH,BNB,ETH,0.13800000
BTCUSDT,BTC,USDT,25870.72000000
ETHUSDT,ETH,USDT,1740.00000000
WTCBTC,WTC,BTC,0.00000569
LRCBTC,LRC,BTC,0.00000832
LRCETH,LRC,ETH,0.00012350
QTUMBTC,QTUM,BTC,0.00008200
ZRXBTC,ZRX,BTC,0.00000677
ZRXETH,ZRX,ETH,0.00009970
KNCBTC,KNC,BTC,0.00001882
FUNETH,FUN,ETH,0.00000218
SNMBTC,SNM,BTC,0.00001119
NEOETH,NEO,ETH,0.00449000
IOTABTC,IOTA,BTC,0.00000603
IOTAETH,IOTA,ETH,0.00008960
LINKBTC,LINK,BTC,0.00020420
LINKETH,LINK,ETH,0.00303600
XVGETH,XVG,ETH,0.00000089
MTLBTC,MTL,BTC,0.00004371
MTLETH,MTL,ETH,0.00064860
EOSBTC,EOS,BTC,0.00002598
SNTBTC,SNT,BTC,0.00000078
ETCETH,ETC,ETH,0.00870000
ETCBTC,ETC,BTC,0.00058700
ZECBTC,ZEC,BTC,0.00098100
ZECETH,ZEC,ETH,0.01454000
BNTBTC,BNT,BTC,0.00001368
ASTBTC,AST,BTC,0.00000395
DASHBTC,DASH,BTC,0.00112900
DASHETH,DASH,ETH,0.01669000
OAXBTC,OAX,BTC,0.00000612
REQBTC,REQ,BTC,0.00000278
VIBBTC,VIB,BTC,0.00000176
TRXBTC,TRX,BTC,0.00000277
TRXETH,TRX,ETH,0.00004131
POWRBTC,POWR,BTC,0.00000492
POWRETH,POWR,ETH,0.00007300
XRPBTC,XRP,BTC,0.00002019
XRPETH,XRP,ETH,0.00030020
ENJBTC,ENJ,BTC,0.00000990
ENJETH,ENJ,ETH,0.00014670
STORJBTC,STORJ,BTC,0.00000892
BNBUSDT,BNB,USDT,240.20000000
KMDBTC,KMD,BTC,0.00000980
NULSBTC,NULS,BTC,0.00000753
XMRBTC,XMR,BTC,0.00535700
XMRETH,XMR,ETH,0.07973000
AMBBTC,AMB,BTC,0.00000031
BATBTC,BAT,BTC,0.00000654
BATETH,BAT,ETH,0.00009830
NEOUSDT,NEO,USDT,7.82000000
NEOBNB,NEO,BNB,0.03253000
LSKBTC,LSK,BTC,0.00002678
LSKETH,LSK,ETH,0.00039500
MANABTC,MANA,BTC,0.00001318
MANAETH,MANA,ETH,0.00019630
IOTABNB,IOTA,BNB,0.00065100
ADXBTC,ADX,BTC,0.00000508
ADXETH,ADX,ETH,0.00007560
ADABTC,ADA,BTC,0.00001062
ADAETH,ADA,ETH,0.00015790
XLMBTC,XLM,BTC,0.00000321
XLMETH,XLM,ETH,0.00004770
XLMBNB,XLM,BNB,0.00034610
LTCETH,LTC,ETH,0.04454000
LTCUSDT,LTC,USDT,77.50000000
LTCBNB,LTC,BNB,0.32260000
WAVESBTC,WAVES,BTC,0.00005370
WAVESETH,WAVES,ETH,0.00079900
ICXBTC,ICX,BTC,0.00000710
ELFBTC,ELF,BTC,0.00001048
ELFETH,ELF,ETH,0.00015530
RLCBTC,RLC,BTC,0.00004833
RLCETH,RLC,ETH,0.00071700
PIVXBTC,PIVX,BTC,0.00000762
IOSTBTC,IOST,BTC,0.00000029
IOSTETH,IOST,ETH,0.00000434
STEEMBTC,STEEM,BTC,0.00000605
STEEMETH,STEEM,ETH,0.00008990
BLZBTC,BLZ,BTC,0.00000206
ZILBTC,ZIL,BTC,0.00000067
ZILETH,ZIL,ETH,0.00001003
ZILBNB,ZIL,BNB,0.00007240
ONTBTC,ONT,BTC,0.00000639
QTUMUSDT,QTUM,USDT,2.12400000
WANBTC,WAN,BTC,0.00000675
WANETH,WAN,ETH,0.00010050
SYSBTC,SYS,BTC,0.00000460
ADAUSDT,ADA,USDT,0.27460000
ADABNB,ADA,BNB,0.00114300
LOOMBTC,LOOM,BTC,0.00000153
XRPUSDT,XRP,USDT,0.52250000
BTCTUSD,BTC,TUSD,25835.43000000
ETHTUSD,ETH,TUSD,1738.10000000
ZENBTC,ZEN,BTC,0.00024170
ZENETH,ZEN,ETH,0.00356800
EOSUSDT,EOS,USDT,0.67200000
EOSBNB,EOS,BNB,0.00279900
THETABTC,THETA,BTC,0.00002488
THETAETH,THETA,ETH,0.00036970
THETABNB,THETA,BNB,0.00267700
XRPBNB,XRP,BNB,0.00217300
TUSDUSDT,TUSD,USDT,1.00130000
IOTAUSDT,IOTA,USDT,0.15630000
XLMUSDT,XLM,USDT,0.08330000
IOTXBTC,IOTX,BTC,0.00000068
IOTXETH,IOTX,ETH,0.00001018
QKCBTC,QKC,BTC,0.00000028
QKCETH,QKC,ETH,0.00000415
DATABTC,DATA,BTC,0.00000085
ONTUSDT,ONT,USDT,0.16520000
TRXBNB,TRX,BNB,0.00029910
TRXUSDT,TRX,USDT,0.07189000
ETCUSDT,ETC,USDT,15.20000000
ETCBNB,ETC,BNB,0.06330000
ICXUSDT,ICX,USDT,0.18420000
SCETH,SC,ETH,0.00000154
DENTETH,DENT,ETH,0.00000037
ARDRBTC,ARDR,BTC,0.00000236
NULSUSDT,NULS,USDT,0.19560000
HOTETH,HOT,ETH,0.00000073
VETBTC,VET,BTC,0.00000062
VETETH,VET,ETH,0.00000922
VETUSDT,VET,USDT,0.01604000
VETBNB,VET,BNB,0.00006680
DOCKBTC,DOCK,BTC,0.00000055
RVNBTC,RVN,BTC,0.00000063
DCRBTC,DCR,BTC,0.00047700
RENBTC,REN,BTC,0.00000217
BNBTUSD,BNB,TUSD,239.90000000
XRPTUSD,XRP,TUSD,0.52180000
BNBUSDC,BNB,USDC,240.40000000
BTCUSDC,BTC,USDC,25866.62000000
ETHUSDC,ETH,USDC,1739.94000000
USDCUSDT,USDC,USDT,1.00020000
ADATUSD,ADA,TUSD,0.27580000
TRXXRP,TRX,XRP,0.13770000
LINKUSDT,LINK,USDT,5.28000000
WAVESUSDT,WAVES,USDT,1.38900000
LTCTUSD,LTC,TUSD,77.59000000
ONGBTC,ONG,BTC,0.00000781
ONGUSDT,ONG,USDT,0.20260000
HOTUSDT,HOT,USDT,0.00127100
ZILUSDT,ZIL,USDT,0.01745000
ZRXUSDT,ZRX,USDT,0.17490000
FETBNB,FET,BNB,0.00078300
FETBTC,FET,BTC,0.00000726
FETUSDT,FET,USDT,0.18790000
BATUSDT,BAT,USDT,0.16930000
XMRBNB,XMR,BNB,0.57780000
XMRUSDT,XMR,USDT,138.70000000
ZECBNB,ZEC,BNB,0.10520000
ZECUSDT,ZEC,USDT,25.40000000
IOSTUSDT,IOST,USDT,0.00754000
CELRBNB,CELR,BNB,0.00006305
CELRBTC,CELR,BTC,0.00000059
CELRUSDT,CELR,USDT,0.01518000
DASHBNB,DASH,BNB,0.12160000
DASHUSDT,DASH,USDT,29.23000000
OMGUSDT,OMG,USDT,0.55200000
THETAUSDT,THETA,USDT,0.64400000
ENJUSDT,ENJ,USDT,0.25610000
MATICBNB,MATIC,BNB,0.00268000
MATICBTC,MATIC,BTC,0.00002488
MATICUSDT,MATIC,USDT,0.64360000
ATOMBNB,ATOM,BNB,0.03603000
ATOMBTC,ATOM,BTC,0.00033460
ATOMUSDT,ATOM,USDT,8.65200000
PHBBTC,PHB,BTC,0.00002339
TFUELBTC,TFUEL,BTC,0.00000124
TFUELUSDT,TFUEL,USDT,0.03230000
ONEBNB,ONE,BNB,0.00004500
ONEBTC,ONE,BTC,0.00000041
ONEUSDT,ONE,USDT,0.01078000
FTMBNB,FTM,BNB,0.00108780
FTMBTC,FTM,BTC,0.00001010
FTMUSDT,FTM,USDT,0.26130000
ALGOBNB,ALGO,BNB,0.00047100
ALGOBTC,ALGO,BTC,0.00000437
ALGOUSDT,ALGO,USDT,0.11310000
DOGEBTC,DOGE,BTC,0.00000238
DOGEUSDT,DOGE,USDT,0.06170000
DUSKBTC,DUSK,BTC,0.00000409
DUSKUSDT,DUSK,USDT,0.10590000
ANKRBNB,ANKR,BNB,0.00008330
ANKRBTC,ANKR,BTC,0.00000077
ANKRUSDT,ANKR,USDT,0.02007000
WINBNB,WIN,BNB,0.00000027
WINUSDT,WIN,USDT,0.00006320
COSBNB,COS,BNB,0.00002092
COSBTC,COS,BTC,0.00000019
COSUSDT,COS,USDT,0.00503000
MTLUSDT,MTL,USDT,1.12800000
TOMOBTC,TOMO,BTC,0.00005751
TOMOUSDT,TOMO,USDT,1.48410000
PERLUSDT,PERL,USDT,0.01638000
DENTUSDT,DENT,USDT,0.00065800
KEYUSDT,KEY,USDT,0.00606100
DOCKUSDT,DOCK,USDT,0.01425000
WANUSDT,WAN,USDT,0.17520000
FUNUSDT,FUN,USDT,0.00379200
CVCUSDT,CVC,USDT,0.07170000
WINTRX,WIN,TRX,0.00087700
CHZBNB,CHZ,BNB,0.00028410
CHZBTC,CHZ,BTC,0.00000264
CHZUSDT,CHZ,USDT,0.06820000
BANDBTC,BAND,BTC,0.00003930
BANDUSDT,BAND,USDT,1.01700000
BNBBUSD,BNB,BUSD,240.20000000
BTCBUSD,BTC,BUSD,25875.45000000
BUSDUSDT,BUSD,USDT,0.99980000
XTZBTC,XTZ,BTC,0.00002794
XTZUSDT,XTZ,USDT,0.72200000
RENUSDT,REN,USDT,0.05611100
RVNUSDT,RVN,USDT,0.01647000
HBARBNB,HBAR,BNB,0.00019290
HBARBTC,HBAR,BTC,0.00000180
HBARUSDT,HBAR,USDT,0.04640000
NKNBTC,NKN,BTC,0.00000374
NKNUSDT,NKN,USDT,0.09680000
XRPBUSD,XRP,BUSD,0.52250000
ETHBUSD,ETH,BUSD,1740.22000000
LTCBUSD,LTC,BUSD,77.50000000
LINKBUSD,LINK,BUSD,5.28200000
ETCBUSD,ETC,BUSD,15.22000000
STXBNB,STX,BNB,0.00214000
STXBTC,STX,BTC,0.00001982
STXUSDT,STX,USDT,0.51350000
KAVABNB,KAVA,BNB,0.00334300
KAVABTC,KAVA,BTC,0.00003119
KAVAUSDT,KAVA,USDT,0.80600000
BTCNGN,BTC,NGN,19598454.00000000
ARPABNB,ARPA,BNB,0.00020600
ARPABTC,ARPA,BTC,0.00000191
ARPAUSDT,ARPA,USDT,0.04928000
TRXBUSD,TRX,BUSD,0.07191000
EOSBUSD,EOS,BUSD,0.67300000
IOTXUSDT,IOTX,USDT,0.01771000
RLCUSDT,RLC,USDT,1.25100000
XLMBUSD,XLM,BUSD,0.08330000
ADABUSD,ADA,BUSD,0.27450000
CTXCBTC,CTXC,BTC,0.00000581
CTXCUSDT,CTXC,USDT,0.15080000
BCHBNB,BCH,BNB,0.44000000
BCHBTC,BCH,BTC,0.00410000
BCHUSDT,BCH,USDT,106.00000000
BCHBUSD,BCH,BUSD,106.00000000
BTCRUB,BTC,RUB,2191807.00000000
ETHRUB,ETH,RUB,147496.00000000
XRPRUB,XRP,RUB,44.25000000
BNBRUB,BNB,RUB,20344.40000000
TROYUSDT,TROY,USDT,0.00193900
BUSDRUB,BUSD,RUB,84.66000000
QTUMBUSD,QTUM,BUSD,2.12900000
VETBUSD,VET,BUSD,0.01604000
VITEBTC,VITE,BTC,0.00000052
VITEUSDT,VITE,USDT,0.01358000
BTCTRY,BTC,TRY,618702.00000000
BNBTRY,BNB,TRY,5745.00000000
BUSDTRY,BUSD,TRY,23.89000000
ETHTRY,ETH,TRY,41612.00000000
XRPTRY,XRP,TRY,12.49500000
USDTTRY,USDT,TRY,23.92000000
USDTRUB,USDT,RUB,84.66000000
BTCEUR,BTC,EUR,24090.53000000
ETHEUR,ETH,EUR,1620.21000000
BNBEUR,BNB,EUR,223.70000000
XRPEUR,XRP,EUR,0.48650000
EURBUSD,EUR,BUSD,1.07370000
EURUSDT,EUR,USDT,1.07380000
OGNBTC,OGN,BTC,0.00000281
